"datetime";"shop";"card";"bonus_earned";"bonus_spent";"summ";"summ_with_disc";"doc_id"
2021-07-13 16:43:49.000;Аптека 10;"2000200170174";19;0;647;647;"15#17002010#65938#17_46"
2021-07-13 16:49:58.000;Аптека 2;"39dadf72-12e4-4391-af82-fd20e0d74e7d";32;13;1173;1173;"15#2002740#65938#2_78"
2021-07-13 16:51:01.000;Аптека 4;"2000200164029";2;0;207;207;"15#7001787#65938#7_56"
2021-07-13 16:54:20.000;Аптека 1;"9b0bc26a-1d46-4b94-8434-da669a42edc8";2;0;199;199;"15#13002282#65938#13_61"
2021-07-13 17:02:54.000;Аптека 2;"2000200169000";4;0;147;147;"15#2002740#65938#2_80"
2021-07-13 17:11:23.000;Аптека 2;"7ac92f61-db45-49e6-a6e3-1fe4059e3426";35;125;1500;1500;"15#2002740#65938#2_83"
2021-07-13 17:12:43.000;Аптека 4;"40399c53-b34e-43b1-9338-67d917e576db";1;0;196;196;"15#7001787#65938#7_59"
2021-07-13 17:28:32.000;Аптека 4;cffa9b33-cd47-42e6-942a-83a561d8b74f;53;21;2021;2021;"15#7001787#65938#7_64"
2021-07-13 17:38:46.000;Аптека 1;d0559fe7-ab83-4ef1-ba33-556806e068d5;10;0;707;707;"15#13002282#65938#13_65"
2021-07-13 17:54:25.000;Аптека 2;"2000200150930";67;0;2267;2267;"15#2002741#65938#2_63"
2021-07-13 17:55:22.000;Аптека 6;"2000200181156";65;0;525;525;"15#10002381#65938#10_37"
2021-07-13 18:00:49.000;Аптека 2;"2000200206811";5;0;177;177;"15#2002740#65938#2_90"
2021-07-13 18:02:37.000;Аптека 10;"2000200173373";26;0;887;887;"15#17002010#65938#17_52"
2021-07-13 18:27:41.000;Аптека 7;"17e23a30-1f54-4685-b126-a5bf0f981282";22;0;752;752;"15#11006955#65938#11_126"
2021-07-13 18:34:32.000;Аптека 7;"2000200161479";1;0;118;118;"15#11006955#65938#11_127"
2021-07-13 18:35:43.000;Аптека 6;"2000200181163";72;0;796;796;"15#10002381#65938#10_43"
2021-07-13 18:36:59.000;Аптека 7;"3cc6d94e-2342-4bee-8e9c-e10518ed421f";1;0;149;149;"15#11006955#65938#11_129"
2021-07-13 18:42:23.000;Аптека 2;"470b9054-1c5c-427e-8b57-22830c1ebf98";23;0;869;869;"15#2002740#65938#2_100"
2021-07-13 18:42:26.000;Аптека 4;"1b71176e-f025-4bdd-b4fd-726f68a7f959";5;0;168;168;"15#7001787#65938#7_74"
2021-07-13 18:49:16.000;Аптека 10;"2000200170563";11;0;231;231;"15#17002010#65938#17_60"
2021-07-13 18:50:29.000;Аптека 7;a89a7dec-f6f2-4fd3-b1c0-505e667c5dd9;20;0;669;669;"15#11006955#65938#11_133"
2021-07-13 18:55:18.000;Аптека 7;"262be3a0-1838-4e35-804c-ad5bf22c4fe7";2;0;272;272;"15#11006955#65938#11_135"
2021-07-13 18:58:48.000;Аптека 1;"0e794e12-f632-4612-87bc-b853beda53a3";10;0;1051;1051;"15#13002282#65938#13_73"
2021-07-13 19:10:14.000;Аптека 10;"2000200173366";19;0;702;702;"15#17002010#65938#17_63"
2021-07-13 19:15:48.000;Аптека 2;"2000200185741";16;0;560;560;"15#2002740#65938#2_108"
2021-07-13 19:20:01.000;Аптека 2;"2000200202301";4;0;193;193;"15#2002740#65938#2_110"
2021-07-13 19:21:26.000;Аптека 7;"2000200161325";29;0;999;999;"15#11006955#65938#11_141"
2021-07-13 19:27:49.000;Аптека 1;f074ff17-1d64-4ab4-ba22-7b4c38016722;12;0;403;403;"15#13002282#65938#13_78"
2021-07-13 19:32:32.000;Аптека 4;"9c5ba2d1-7220-448f-9e32-708c11732dc7";2;0;70;70;"15#7001787#65938#7_84"
2021-07-13 19:41:55.000;Аптека 2;"6e84be03-4d9d-42fd-b162-60dda3eb0cee";105;0;1151;1151;"15#2002740#65938#2_116"
2021-07-13 19:43:49.000;Аптека 10;"2000200173359";13;0;444;444;"15#17002010#65938#17_71"
2021-07-13 19:55:22.000;Аптека 2;"019e84c7-23fb-4690-aa94-468def3e449d";18;0;577;577;"15#2002740#65938#2_119"
2021-07-13 20:00:32.000;Аптека 2;e0932852-bbce-4255-8823-ebc88d0b69c8;23;69;2310;2310;"15#2002740#65938#2_120"
2021-07-13 20:03:16.000;Аптека 2;"2000200198970";2;0;272;272;"15#2002740#65938#2_122"
2021-07-13 20:05:25.000;Аптека 2;"69b9b73f-e32d-4026-95ac-b9a84c89d4ca";105;0;2104;2104;"15#2002740#65938#2_123"
2021-07-13 20:11:26.000;Аптека 10;"2000200170143";29;0;1081;1081;"15#17002010#65938#17_76"
2021-07-13 20:12:09.000;Аптека 10;"2000200170143";1;0;64;64;"15#17002010#65938#17_77"
2021-07-13 20:14:03.000;Аптека 7;"04a03977-7308-466c-b2fb-486af3e52aee";44;0;1483;1483;"15#11006955#65938#11_156"
2021-07-13 20:16:38.000;Аптека 2;f05ac5e0-d123-42e9-b618-09280bf09809;41;0;1369;1369;"15#2002740#65938#2_125"
2021-07-13 20:19:55.000;Аптека 10;"2000200171676";11;0;390;390;"15#17002010#65938#17_79"
2021-07-13 20:21:10.000;Аптека 2;"2000200203049";25;0;836;836;"15#2002740#65938#2_126"
2021-07-13 20:34:32.000;Аптека 2;"2000200199175";17;0;1259;1259;"15#2002740#65938#2_130"
2021-07-13 20:36:00.000;Аптека 7;a4e95cdc-ff88-4cfd-be29-d3d81d54741c;2;0;75;75;"15#11006955#65938#11_164"
2021-07-13 20:44:39.000;Аптека 10;"97ad3316-d9c0-4131-82c4-018018f58fd8";15;0;300;300;"15#17002010#65938#17_82"
2021-07-13 20:46:48.000;Аптека 2;"2000200206828";72;0;771;771;"15#2002740#65938#2_133"
2021-07-13 20:49:15.000;Аптека 2;"2000200202301";29;0;995;995;"15#2002740#65938#2_135"
2021-07-13 20:49:36.000;Аптека 7;"4f67d7ec-073f-486b-a19d-75a411fbf07d";14;0;469;469;"15#11006955#65938#11_171"
2021-07-14 08:14:39.000;Аптека 1;"86148ffc-fda9-4cf3-97f8-c799f9fe8136";2;27;92;92;"15#13002301#65939#13_3"
2021-07-14 08:16:56.000;Аптека 1;d0559fe7-ab83-4ef1-ba33-556806e068d5;14;0;482;482;"15#13002301#65939#13_5"
2021-07-14 09:04:47.000;Аптека 2;"2000200206750";57;0;654;654;"15#2002759#65939#2_1"
2021-07-14 09:19:41.000;Аптека 2;"2000200152996";54;0;5442;5442;"15#2002759#65939#2_3"
2021-07-14 09:22:08.000;Аптека 7;"90b4498d-a10f-4717-9759-38102abe8258";12;0;605;605;"15#11006999#65939#11_7"
2021-07-14 09:24:29.000;Аптека 2;c599fc71-02ad-405c-9137-54f7f4d6e85b;4;73;241;241;"15#2002759#65939#2_5"
2021-07-14 09:34:38.000;Аптека 2;"2000200206798";50;0;115;115;"15#2002759#65939#2_8"
2021-07-14 09:51:44.000;Аптека 2;"2000200191704";2;0;231;231;"15#2002759#65939#2_11"
2021-07-14 10:13:22.000;Аптека 10;"2000200186939";75;0;3587;3587;"15#17002025#65939#17_4"
2021-07-14 10:23:15.000;Аптека 10;"2000200189077";19;0;660;660;"15#17002025#65939#17_5"
2021-07-14 10:43:53.000;Аптека 2;"2000200206651";11;0;462;462;"15#2002760#65939#2_8"
2021-07-14 10:44:45.000;Аптека 2;"2000200206651";8;0;290;290;"15#2002760#65939#2_9"
2021-07-14 10:50:08.000;Аптека 1;"177fa951-2132-4172-9730-e1269441a235";4;76;409;409;"15#13002301#65939#13_36"
2021-07-14 10:50:17.000;Аптека 2;"2000200206651";5;0;454;454;"15#2002760#65939#2_11"
